"Source:","/Users/enigmatic/Library/CloudStorage/GoogleDrive-atsipkz@gmail.com/Мой диск/Retro/Apple/Apple-2e/appleIIe-kicad/Apple IIe (NTSC) - 050-0051-D.kicad_sch"
"Date:","2026-02-11T15:18:36+0500"
"Tool:","Eeschema 9.0.7"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","149"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1-7,10","1",".1uF","C_Small","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C8,9","1","10uF 6V","C_Polarized_Small","PCM_Capacitor_THT_AKL:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal","Polarized capacitor, small symbol","",""
"C11, C13, C18, C36, C60, C80, C83","7",".1uF","C_Small","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C12, C15","2","10uF 16V","C_Polarized_Small","PCM_Capacitor_THT_AKL:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal","Polarized capacitor, small symbol","",""
"C16,19-24","1",".1uF","C_Small","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C17","1","10uF 6V","CP_Axial_L10.0mm_D6.0mm_P15.00mm","PCM_Capacitor_THT_AKL:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal","THT Axial Electrolytic Capacitor, 10.0mm Length, 6.0mm Diameter, 15.00mm Pitch, European Symbol, Alternate KiCad Library","",""
"C25","1","100pF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol","",""
"C26-31,33","1",".1uF","C_Small","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C32, C70","2","47pF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol","",""
"C34, C35, C37, C40, C71","5",".022uF","C_Small","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C38,39,48-52,55-59,61-69,73-76,78,81,84-89","1",".1uF","C_Small","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C41-47","1",".1uF","C_Small","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C53,54,72,82","1","10uF 6V","C_Polarized_Small","PCM_Capacitor_THT_AKL:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal","Polarized capacitor, small symbol","",""
"C79","1","1uF","C_Polarized_Small","PCM_Capacitor_THT_AKL:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal","Polarized capacitor, small symbol","",""
"C90, C91, C92, C93","4","220pF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol","",""
"CR1, CR2","2","378-0001","LED_Small","LED_THT:LED_D5.0mm_Clear","Light emitting diode, small symbol","",""
"CR4","1","1N914","D_Small","Diode_THT:D_A-405_P12.70mm_Horizontal","Diode, small symbol","",""
"J0","1","Conn_02x30_Counter_Clockwise","Conn_02x30_Counter_Clockwise","PCM_MA_Connector_AppleII:EDAC_395-060-520-201_CounterClockwise","Generic connector, double row, 02x30, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J1, J2, J3, J4, J5, J6, J7","7","Bus_Apple_II_Computer_Side","Bus_Apple_II_Computer_Side","PCM_MA_Connector_AppleII:EDAC_395-050-520-201_CounterClockwise","Apple II bus connector. Use this symbol on the motherboard side, either on Apple II-compatible motherboards, or on boards that are designed to take Apple II peripheral cards.","",""
"J8","1","DB9_Female","DE9_Socket","Connector_Dsub:DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","9-pin D-SUB connector, socket (female)","",""
